timestamp,decision,process,reason,details
2025-08-14T13:08:04.9886721-07:00,DENY,Secure System.exe,denyList,policy
2025-08-14T13:08:05.0318442-07:00,DENY,SecurityHealthService.exe,denyList,policy
2025-08-14T13:08:05.0591495-07:00,DENY,SecurityHealthSystray.exe,denyList,policy
2025-08-14T13:08:05.0781932-07:00,DENY,servicehost.exe,denyList,policy
2025-08-14T13:08:05.1042809-07:00,DENY,services.exe,denyList,policy
2025-08-14T13:08:05.1339969-07:00,DENY,ShellHost.exe,denyList,policy
2025-08-14T13:08:05.1659138-07:00,DENY,sihost.exe,denyList,policy
2025-08-14T13:08:05.2119314-07:00,DENY,smartscreen.exe,denyList,policy
2025-08-14T13:08:05.2609631-07:00,DENY,smss.exe,denyList,policy
2025-08-14T13:08:05.3050263-07:00,DENY,spoolsv.exe,denyList,policy
2025-08-14T13:08:05.3423616-07:00,DENY,StartMenuExperienceHost.exe,denyList,policy
2025-08-14T13:08:05.3882873-07:00,DENY,svchost.exe,denyList,policy
2025-08-14T13:08:07.4880038-07:00,DENY,svchost.exe,denyList,policy
