timestamp,decision,process,reason,details
2025-08-14T13:04:32.2036506-07:00,DENY,AggregatorHost.exe,denyList,policy
2025-08-14T13:04:32.2435321-07:00,DENY,amdfendrsr.exe,denyList,policy
2025-08-14T13:04:32.2600628-07:00,DENY,AppActions.exe,denyList,policy
2025-08-14T13:04:32.2746192-07:00,DENY,AppHelperCap.exe,denyList,policy
2025-08-14T13:04:32.3033580-07:00,DENY,atieclxx.exe,denyList,policy
2025-08-14T13:04:32.3247807-07:00,DENY,atiesrxx.exe,denyList,policy
2025-08-14T13:04:32.3424064-07:00,DENY,backgroundTaskHost.exe,denyList,policy
2025-08-14T13:04:32.3612588-07:00,DENY,BridgeCommunication.exe,denyList,policy
2025-08-14T13:04:32.3835747-07:00,DENY,cncmd.exe,denyList,policy
2025-08-14T13:04:32.4095954-07:00,DENY,com.docker.backend.exe,denyList,policy
2025-08-14T13:04:32.4557439-07:00,DENY,com.docker.backend.exe,denyList,policy
2025-08-14T13:04:32.4748598-07:00,DENY,com.docker.build.exe,denyList,policy
2025-08-14T13:04:32.4942937-07:00,DENY,com.docker.dev-envs.exe,denyList,policy
2025-08-14T13:04:32.5116308-07:00,DENY,conhost.exe,denyList,policy
2025-08-14T13:04:32.5375943-07:00,DENY,conhost.exe,denyList,policy
2025-08-14T13:04:32.6049337-07:00,DENY,conhost.exe,denyList,policy
2025-08-14T13:04:32.7187782-07:00,DENY,conhost.exe,denyList,policy
2025-08-14T13:04:32.7748857-07:00,DENY,conhost.exe,denyList,policy
2025-08-14T13:04:32.7924418-07:00,DENY,conhost.exe,denyList,policy
2025-08-14T13:04:32.8175913-07:00,DENY,conhost.exe,denyList,policy
2025-08-14T13:04:32.8387782-07:00,DENY,conhost.exe,denyList,policy
2025-08-14T13:04:34.6540932-07:00,DENY,conhost.exe,denyList,policy
2025-08-14T13:04:34.6895038-07:00,DENY,conhost.exe,denyList,policy
2025-08-14T13:04:34.7204176-07:00,DENY,conhost.exe,denyList,policy
2025-08-14T13:04:34.7451538-07:00,DENY,conhost.exe,denyList,policy
2025-08-14T13:04:34.7814717-07:00,DENY,conhost.exe,denyList,policy
2025-08-14T13:04:34.8020954-07:00,DENY,conhost.exe,denyList,policy
2025-08-14T13:04:34.8251473-07:00,DENY,conhost.exe,denyList,policy
2025-08-14T13:04:34.8515595-07:00,DENY,conhost.exe,denyList,policy
2025-08-14T13:04:34.8770650-07:00,DENY,CrossDeviceResume.exe,denyList,policy
2025-08-14T13:04:35.7893715-07:00,DENY,csrss.exe,denyList,policy
2025-08-14T13:04:35.8237220-07:00,DENY,csrss.exe,denyList,policy
2025-08-14T13:04:35.8553518-07:00,DENY,ctfmon.exe,denyList,policy
2025-08-14T13:04:36.5869465-07:00,DENY,DesktopExtension.exe,denyList,policy
2025-08-14T13:04:36.6118428-07:00,DENY,DiagsCap.exe,denyList,policy
2025-08-14T13:04:37.3872702-07:00,DENY,dllhost.exe,denyList,policy
2025-08-14T13:04:37.4048889-07:00,DENY,dllhost.exe,denyList,policy
2025-08-14T13:04:37.4262177-07:00,DENY,dllhost.exe,denyList,policy
2025-08-14T13:04:37.4545002-07:00,DENY,dllhost.exe,denyList,policy
2025-08-14T13:04:37.4823083-07:00,DENY,docker.exe,denyList,policy
2025-08-14T13:04:37.5048981-07:00,DENY,Docker Desktop.exe,denyList,policy
2025-08-14T13:04:37.5362449-07:00,DENY,Docker Desktop.exe,denyList,policy
2025-08-14T13:04:37.5689045-07:00,DENY,Docker Desktop.exe,denyList,policy
2025-08-14T13:04:37.5854880-07:00,DENY,Docker Desktop.exe,denyList,policy
2025-08-14T13:04:37.6166329-07:00,DENY,dwm.exe,denyList,policy
2025-08-14T13:04:38.1953158-07:00,DENY,ELAN_MOC_Service.exe,denyList,policy
2025-08-14T13:04:42.7051623-07:00,DENY,expressvpnd.exe,denyList,policy
2025-08-14T13:04:42.8691214-07:00,DENY,ExpressVPNNotificationService.exe,denyList,policy
2025-08-14T13:04:59.2612804-07:00,DENY,fontdrvhost.exe,denyList,policy
2025-08-14T13:04:59.5066001-07:00,DENY,fontdrvhost.exe,denyList,policy
2025-08-14T13:05:00.6631102-07:00,DENY,HP.myHP.exe,denyList,policy
2025-08-14T13:05:01.3976300-07:00,DENY,HPAudioSwitch.exe,denyList,policy
2025-08-14T13:05:01.6691302-07:00,DENY,HPCommRecovery.exe,denyList,policy
2025-08-14T13:05:03.3143535-07:00,DENY,HPMediaNetwork.exe,denyList,policy
2025-08-14T13:05:03.3369917-07:00,DENY,hp-one-agent-service.exe,denyList,policy
2025-08-14T13:05:03.4000770-07:00,DENY,HPSystemEventUtilityBackground.exe,denyList,policy
2025-08-14T13:05:03.4153479-07:00,DENY,HPSystemEventUtilityHost.exe,denyList,policy
2025-08-14T13:05:03.4428232-07:00,DENY,Idle.exe,denyList,policy
2025-08-14T13:05:03.4681164-07:00,DENY,LsaIso.exe,denyList,policy
2025-08-14T13:05:03.4922812-07:00,DENY,lsass.exe,denyList,policy
2025-08-14T13:05:03.5249210-07:00,DENY,Memory Compression.exe,denyList,policy
2025-08-14T13:05:03.7593971-07:00,DENY,Microsoft.SharePoint.exe,denyList,policy
2025-08-14T13:05:03.7769789-07:00,DENY,MicrosoftEdgeUpdate.exe,denyList,policy
2025-08-14T13:05:03.7972744-07:00,DENY,MpDefenderCoreService.exe,denyList,policy
2025-08-14T13:05:03.8305855-07:00,DENY,msedgewebview2.exe,denyList,policy
2025-08-14T13:05:03.8461985-07:00,DENY,msedgewebview2.exe,denyList,policy
2025-08-14T13:05:03.8855393-07:00,DENY,msedgewebview2.exe,denyList,policy
2025-08-14T13:05:04.2616084-07:00,DENY,msedgewebview2.exe,denyList,policy
2025-08-14T13:05:04.2781675-07:00,DENY,msedgewebview2.exe,denyList,policy
2025-08-14T13:05:04.3417314-07:00,DENY,msedgewebview2.exe,denyList,policy
2025-08-14T13:05:04.3589993-07:00,DENY,MsMpEng.exe,denyList,policy
2025-08-14T13:05:04.3949794-07:00,DENY,msrdc.exe,denyList,policy
2025-08-14T13:05:04.4167844-07:00,DENY,msrdc.exe,denyList,policy
2025-08-14T13:05:04.4456936-07:00,DENY,NetworkCap.exe,denyList,policy
2025-08-14T13:05:04.4720605-07:00,DENY,NgcIso.exe,denyList,policy
2025-08-14T13:05:04.4957137-07:00,DENY,NisSrv.exe,denyList,policy
2025-08-14T13:05:04.5299374-07:00,DENY,node.exe,denyList,policy
2025-08-14T13:05:04.5575877-07:00,DENY,Notepad.exe,denyList,policy
2025-08-14T13:05:04.6566012-07:00,DENY,nssm.exe,denyList,policy
2025-08-14T13:05:04.7047648-07:00,DENY,OfficeClickToRun.exe,denyList,policy
2025-08-14T13:05:04.7209619-07:00,DENY,OneDrive.exe,denyList,policy
2025-08-14T13:05:04.7444404-07:00,DENY,ONENOTEM.exe,denyList,policy
2025-08-14T13:05:04.9360832-07:00,DENY,pg_ctl.exe,denyList,policy
2025-08-14T13:05:04.9433677-07:00,DENY,pgagent.exe,denyList,policy
2025-08-14T13:05:04.9782140-07:00,DENY,pgbouncer.exe,denyList,policy
2025-08-14T13:05:07.9399232-07:00,DENY,postgres.exe,denyList,policy
2025-08-14T13:05:07.9535749-07:00,DENY,postgres.exe,denyList,policy
2025-08-14T13:05:07.9745537-07:00,DENY,postgres.exe,denyList,policy
2025-08-14T13:05:07.9949471-07:00,DENY,postgres.exe,denyList,policy
2025-08-14T13:05:08.0222596-07:00,DENY,postgres.exe,denyList,policy
2025-08-14T13:05:08.0461533-07:00,DENY,postgres.exe,denyList,policy
2025-08-14T13:05:08.0673146-07:00,DENY,postgres.exe,denyList,policy
2025-08-14T13:05:08.0923660-07:00,DENY,postgres.exe,denyList,policy
2025-08-14T13:05:08.1109961-07:00,DENY,RadeonSoftware.exe,denyList,policy
2025-08-14T13:05:08.1804893-07:00,DENY,Registry.exe,denyList,policy
2025-08-14T13:05:08.2037183-07:00,DENY,RtkAudUService64.exe,denyList,policy
2025-08-14T13:05:09.1929875-07:00,DENY,RtkAudUService64.exe,denyList,policy
