timestamp,decision,process,reason,details
2025-08-14T13:05:09.2827478-07:00,DENY,RtkAudUService64.exe,denyList,policy
2025-08-14T13:05:09.2950661-07:00,DENY,RtkBtManServ.exe,denyList,policy
2025-08-14T13:05:09.3206470-07:00,DENY,RuntimeBroker.exe,denyList,policy
2025-08-14T13:05:09.3422891-07:00,DENY,RuntimeBroker.exe,denyList,policy
2025-08-14T13:05:09.3731632-07:00,DENY,RuntimeBroker.exe,denyList,policy
2025-08-14T13:05:09.3858631-07:00,DENY,RuntimeBroker.exe,denyList,policy
2025-08-14T13:05:09.4058187-07:00,DENY,SearchHost.exe,denyList,policy
2025-08-14T13:05:09.4379976-07:00,DENY,SearchIndexer.exe,denyList,policy
2025-08-14T13:05:09.4588122-07:00,DENY,SECOCL64.exe,denyList,policy
2025-08-14T13:05:09.4806494-07:00,DENY,SECOMN64.exe,denyList,policy
2025-08-14T13:05:09.5019542-07:00,DENY,Secure System.exe,denyList,policy
2025-08-14T13:05:09.5284220-07:00,DENY,SecurityHealthService.exe,denyList,policy
2025-08-14T13:05:09.5535930-07:00,DENY,SecurityHealthSystray.exe,denyList,policy
2025-08-14T13:05:09.5713581-07:00,DENY,servicehost.exe,denyList,policy
2025-08-14T13:05:09.9526477-07:00,DENY,services.exe,denyList,policy
2025-08-14T13:05:09.9673755-07:00,DENY,ShellExperienceHost.exe,denyList,policy
2025-08-14T13:05:10.0540272-07:00,DENY,ShellHost.exe,denyList,policy
2025-08-14T13:05:10.0707235-07:00,DENY,sihost.exe,denyList,policy
2025-08-14T13:05:10.0920696-07:00,DENY,smss.exe,denyList,policy
2025-08-14T13:05:10.1247640-07:00,DENY,spoolsv.exe,denyList,policy
2025-08-14T13:05:10.1435652-07:00,DENY,StartMenuExperienceHost.exe,denyList,policy
2025-08-14T13:05:10.1698048-07:00,DENY,svchost.exe,denyList,policy
2025-08-14T13:05:40.1304241-07:00,DENY,svchost.exe,denyList,policy
2025-08-14T13:05:41.2365442-07:00,DENY,svchost.exe,denyList,policy
